panel,cfg_weight,block_id,anchor_target_rho,lpips_alex,dino_cosine_distance,seed_count,severity_tv,severity_surprisal,connected_components,bounding_box_area,D_desc_rate,descendant_count,first_descendant_step,maximum_seed_to_descendant_radius,descendant_connected_components,descendant_fraction_distance_le_5,split_incidence,expected_seed_count,single_seed_probability,multi_seed_probability,unconditional_lpips_alex,unconditional_dino_cosine_distance
primary_cfg3,3.0,P3S_B006,0.5,0.016276734473649412,0.01977291703224182,1.25,0.016357933609411072,6.216663817584691,1.25,10.625,0.06991525423728813,8.25,25.0,12.75,7.125,0.4975198412698413,0.0829570156492746,0.08603327279674425,0.07994229351734994,0.0030147221319246505,0.0013502693164496218,0.0016403021876754932
primary_cfg3,3.0,P3S_B007,0.3,0.01280311327718664,0.014511987566947937,1.25,0.028099118017300393,6.348179490924002,1.25,7.125,0.06465517241379311,3.75,30.125,13.25,4.5,0.4125,0.2367744302457736,0.2670852195008434,0.20864739978588773,0.028127030459885835,0.003031449851577966,0.003436067587897848
primary_cfg3,3.0,P3S_B007,0.5,0.03432784783944953,0.019200846552848816,1.125,0.02399380406869542,6.232147104177494,1.125,2.0,0.1408898305084746,16.625,25.875,15.625,12.0,0.4718224789915966,0.1304435563067461,0.13838275993112759,0.12276625347490898,0.007677302831837181,0.004477846552534647,0.002504626708453726
primary_cfg3,3.0,P3S_B008,0.3,0.006101417675864695,0.008992530405521393,1.25,0.018605854839544297,4.375080780693087,1.25,14.0,0.04741379310344827,2.75,30.571428571428573,7.5,3.25,0.5758928571428571,0.14860746705194328,0.15963960758394116,0.13804357187122154,0.010563895180721882,0.0009067162262362071,0.0013363571659521184
primary_cfg3,3.0,P3S_B008,0.5,0.01957705451751579,0.031112000346183777,1.0,0.013617456772173252,5.039087245186526,1.0,1.0,0.0858050847457627,10.125,26.571428571428573,11.625,8.625,0.4003160474716202,0.07635111355761237,0.07886656751114456,0.07387907238220852,0.0024720411754038676,0.0014947299125904164,0.002375435871435953
primary_cfg3,3.0,P3S_B009,0.3,0.006050899290130474,0.0030213147401809692,1.125,0.024651091139105647,4.06278081632793,1.125,3.875,0.040948275862068964,2.375,30.4,5.0,3.0,0.44107142857142856,0.2338260404366277,0.2634163179134499,0.20635005195026673,0.027475988486360743,0.00141485782209201,0.0007064620626093346
primary_cfg3,3.0,P3S_B009,0.5,0.021105393301695585,0.01317073404788971,1.0,0.021901396285944175,4.416384247807694,1.0,1.0,0.06673728813559322,7.875,27.0,13.5,6.375,0.4713468720821662,0.14861880727721788,0.15904844109308935,0.138583038961923,0.01003576831529497,0.003136658379614581,0.0019574187851628126
primary_cfg3,3.0,P3S_B010,0.3,0.0029644158420296662,0.008196160197257996,1.0,0.014106321580568886,3.74639489485247,1.0,1.0,0.028017241379310345,1.625,30.5,3.75,2.25,0.5625,0.12036977569512741,0.12733766287909087,0.11362999634317808,0.006739779351949421,0.00035682606997219316,0.000986569964505276
primary_cfg3,3.0,P3S_B010,0.5,0.008923948151277727,0.018391326069831848,1.0,0.020265438495860526,4.786341335951157,1.0,1.0,0.03813559322033898,4.5,25.75,4.875,4.375,0.23771929824561402,0.09103108629363033,0.09463556778529957,0.0875005103689917,0.003530575924638743,0.0008123566942388456,0.0016741823905171561
primary_cfg3,3.0,P3S_B011,0.3,0.006423018523491919,0.0009180381894111633,1.125,0.02654398369775312,5.962764177319482,1.125,4.0,0.034482758620689655,2.0,30.571428571428573,7.125,2.875,0.60625,0.25995591538424523,0.2976434791626952,0.2253453318600861,0.03461058352415909,0.001669701659804305,0.00023864945788607407
